id,name,area,city,profileurl,user_type,phone,reg_date,pin
1000000026,Aanya Roy,Park Street,Kolkata,https://randomuser.me/api/portraits/women/26.jpg,User,9812345626,26-01-2025,700016
1000000027,Ravi Venkatesh,Park Street,Kolkata,https://randomuser.me/api/portraits/men/27.jpg,User,9812345627,27-01-2025,700016
1000000028,Arjun Mehta,Park Street,Kolkata,https://randomuser.me/api/portraits/men/28.jpg,Agent,9812345628,28-01-2025,700016
1000000029,Krishna Agarwal,Park Street,Kolkata,https://randomuser.me/api/portraits/men/29.jpg,Agent,9812345629,29-01-2025,700016
1000000030,Priya Roy,Park Street,Kolkata,https://randomuser.me/api/portraits/women/30.jpg,Agent,9812345630,30-01-2025,700016
1000000031,Kavya Mehta,Banjara Hills,Hyderabad,https://randomuser.me/api/portraits/women/31.jpg,Agent,9812345631,31-01-2025,500034
1000000032,Diya Mishra,Banjara Hills,Hyderabad,https://randomuser.me/api/portraits/women/54.jpg,Agent,9812345632,01-02-2025,500034
1000000033,Krishna Bhat,Banjara Hills,Hyderabad,https://randomuser.me/api/portraits/men/33.jpg,Agent,9812345633,02-02-2025,500034
1000000034,Aditi Venkatesh,Banjara Hills,Hyderabad,https://randomuser.me/api/portraits/women/55.jpg,User,9812345634,03-02-2025,500034
1000000035,Tanvi Pathak,Banjara Hills,Hyderabad,https://randomuser.me/api/portraits/women/35.jpg,Agent,9812345635,04-02-2025,500034
1000000036,Jyoti Bajaj,Koregaon Park,Pune,https://randomuser.me/api/portraits/women/36.jpg,User,9812345636,05-02-2025,411001
1000000037,Pooja Mehta,Koregaon Park,Pune,https://randomuser.me/api/portraits/women/37.jpg,Agent,9812345637,06-02-2025,411001
1000000038,Aditya Reddy,Koregaon Park,Pune,https://randomuser.me/api/portraits/men/38.jpg,User,9812345638,07-02-2025,411001
1000000039,Tanvi Purohit,Koregaon Park,Pune,https://randomuser.me/api/portraits/women/39.jpg,User,9812345639,08-02-2025,411001
1000000040,Aditi Purohit,Koregaon Park,Pune,https://randomuser.me/api/portraits/women/56.jpg,User,9812345640,09-02-2025,411001
1000000041,Harsh Saxena,Adajan,Surat,https://randomuser.me/api/portraits/men/41.jpg,User,9812345641,10-02-2025,395009
1000000042,Vivaan Purohit,Adajan,Surat,https://randomuser.me/api/portraits/men/42.jpg,Agent,9812345642,11-02-2025,395009
1000000043,Meera Gupta,Adajan,Surat,https://randomuser.me/api/portraits/women/43.jpg,User,9812345643,12-02-2025,395009
1000000044,Pooja Kaushik,Adajan,Surat,https://randomuser.me/api/portraits/women/44.jpg,Agent,9812345644,13-02-2025,395009
1000000045,Sunita Joshi,Adajan,Surat,https://randomuser.me/api/portraits/women/45.jpg,Agent,9812345645,14-02-2025,395009
1000000046,Ananya Iyer,Malviya Nagar,Jaipur,https://randomuser.me/api/portraits/women/46.jpg,Agent,9812345646,15-02-2025,302017
1000000047,Siddharth Yadav,Malviya Nagar,Jaipur,https://randomuser.me/api/portraits/men/47.jpg,User,9812345647,16-02-2025,302017
1000000048,Aditi Dubey,Malviya Nagar,Jaipur,https://randomuser.me/api/portraits/women/48.jpg,Agent,9812345648,17-02-2025,302017
1000000049,Anil Naik,Malviya Nagar,Jaipur,https://randomuser.me/api/portraits/men/49.jpg,Agent,9812345649,18-02-2025,302017
1000000050,Aditi Chatterjee,Malviya Nagar,Jaipur,https://randomuser.me/api/portraits/women/50.jpg,Agent,9812345650,19-02-2025,302017
10002,Delhi Office,Connaught,Delhi,https://randomuser.me/api/portraits/women/43.jpg,Office,9898878005,10-06-2011,110001
10003,Mumbai Office,Andheri,Mumbai,https://randomuser.me/api/portraits/women/45.jpg,Office,9752658881,25-06-2011,400053
10004,Guwahati Office,Bongora,Guwahati,https://randomuser.me/api/portraits/women/44.jpg,Office,8826595287,26-07-2011,400053
10001,Administrator,Kaprup,Guwahati,https://randomuser.me/api/portraits/men/1.jpg,Admin,9865958562,01-01-2006,474020
